STATE,BENES_TOTAL_CNT,AVG_AGE,HCC_SCORE,PERCENT_MALE,Median annual family income in the United States,POLITICAL_AFFILIATION (Qualitative),% Bachelor's Degree or Higher by State (Qualitative),PHYSICIANS_PER_100000 (Qualitative),TOTAL_STATE_POPULATION (Quantitative)
AK,120280,36.5,0.82,0.4918,105752,Republican,32.2,287.2,5117850
AL,1151244,39.6,1.02,0.4535,79940,Republican,28.9,224,734654
AR,699823,38.9,1,0.4531,74179,Republican,26.2,215.4,7452073
AZ,1528056,39.3,0.92,0.4635,93553,Republican,33.5,252,3069856
CA,7080940,38.2,1.04,0.4567,109349,Democrat,37.5,287.8,39181667
CO,1055744,37.9,0.89,0.4708,115335,Swing,46.4,294.4,5912240
CT,757873,41.5,1.07,0.4465,115351,Democrat,42.9,364,3641369
DE,248282,42,0.98,0.4405,100727,Democrat,36.5,292.7,1035354
FL,5250841,42.8,1.11,0.4529,88238,Swing,34.9,273.9,22929248
GA,1986659,37.9,0.99,0.4533,91058,Republican,35.4,236.1,11063669
HI,313961,41.4,0.93,0.4691,113856,Democrat,37,321.9,1434950
IA,703006,39.1,0.91,0.4521,92352,Swing,31.5,223.6,1970497
ID,399056,37.8,0.87,0.4807,91098,Republican,32.1,196.1,12633389
IL,2469323,39.5,1.03,0.4461,101886,Democrat,38.3,292.9,6881373
IN,1412597,38.3,0.99,0.4473,87851,Swing,30.2,236.4,3214739
KS,604506,37.9,0.94,0.4505,90492,Republican,35.8,236,2949749
KY,1019526,39.2,1,0.4682,77935,Republican,27.8,235.6,4549953
LA,966338,38.7,1.05,0.4553,75974,Republican,27,270.1,4598777
MA,1491384,40.3,1.02,0.4394,126104,Democrat,47.8,466,1401992
MD,1174516,39.8,0.99,0.4295,121875,Democrat,43.7,393.5,6204927
ME,387113,44.9,0.93,0.4705,91546,Democrat,37,331.7,7073479
MI,2305486,40.5,1.04,0.4529,88499,Democrat,32.7,300.8,10062124
MN,1172156,39.1,1.02,0.4637,108215,Democrat,40,312.4,5752998
MO,1367107,39.3,1.01,0.4541,88850,Republican,33.2,298.1,2942470
MS,660913,39.3,1.02,0.4446,72259,Republican,25.5,196.8,6205956
MT,267343,40.6,0.83,0.4788,88591,Republican,34.6,257.3,1130612
NC,2273250,39.4,1,0.4575,87911,Swing,36.8,263.6,1988172
ND,150975,36.3,0.93,0.4651,103823,Republican,33.6,239.6,3211077
NE,393267,37.4,0.92,0.449,96439,Republican,35.3,249.2,1401530
NH,350662,43.4,0.87,0.4575,116546,Swing,40.7,322.9,9395315
NJ,1805401,40.4,1.05,0.4328,121944,Democrat,43.8,313.3,2119349
NM,474322,39.9,0.88,0.469,75197,Swing,31.6,251.3,19786543
NV,614468,39.4,0.95,0.4751,90232,Swing,28.7,218.5,10871849
NY,4003915,40.2,1.07,0.4437,102038,Democrat,40.6,389.4,787071
OH,2604737,39.9,0.99,0.4614,89221,Swing,32,302.3,11808390
OK,828700,37.1,1.03,0.4504,80417,Republican,28.7,209.6,4062716
OR,969192,40.7,0.9,0.4724,97946,Democrat,37.7,311.2,4250392
PA,3027857,41.1,1,0.448,94367,Democrat,35.3,328.5,13009406
RI,248622,40.8,0.98,0.4477,110143,Democrat,39,383.5,1101183
SC,1249321,40.5,0.92,0.4482,83747,Republican,32.9,236.9,5390798
SD,202604,38.5,0.87,0.4727,94560,Republican,33.3,250.3,917739
TN,1522963,39.1,0.97,0.4463,85440,Republican,31.7,259,7153029
TX,4860770,35.9,1.01,0.4603,91467,Republican,34.2,231.7,30719247
UT,472847,32.3,0.99,0.4608,107507,Republican,38.4,224.5,3449259
VA,1722838,39.3,0.95,0.4444,109947,Swing,42.4,268,647722
VT,169047,43.7,0.82,0.4653,104756,Democrat,43.7,386.2,8732034
WA,1555950,38.6,0.92,0.4663,113053,Democrat,40.5,285.4,7838655
WI,1341157,40.5,0.96,0.4642,96999,Democrat,33.8,274.4,1770036
WV,468728,42.8,0.99,0.4744,73421,Republican,24,274.2,5930350
WY,129740,39.3,0.79,0.4794,91428,Republican,30.4,211.7,584666